央视台,#genre#
CCTV-1 综合,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8
CCTV-2 财经,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-3 综艺,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576503.m3u8
CCTV-4 中文国际,http://222.89.29.199:808/hls/4/index.m3u8
CCTV-5 体育,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576402.m3u8
CCTV-5+ 体育赛事,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576302.m3u8
CCTV-6 电影,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022574302.m3u8
CCTV-7 国防军事,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226002/index.m3u8
CCTV-8 电视剧,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576102.m3u8
CCTV-9 纪录,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576002.m3u8
CCTV-13 新闻,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv13_2/index.m3u8
凤凰中文,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv
卫视台,#genre#
凤凰资讯,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV22.m3u8
北京卫视,http://61.182.33.218:8000/hls/19/index.m3u8
湖南卫视,http://61.182.33.218:8000/hls/17/index.m3u8
东方卫视,http://125.210.152.19:9123/live/hzgq-dftvgq-h264.m3u8
四川卫视,http://171.217.88.197:4000/udp/239.93.0.169:5140
天津卫视,http://61.182.33.218:8000/hls/20/index.m3u8
安徽卫视,http://125.210.152.19:9123/live/hzgq-ahwsgq-h264.m3u8
山东卫视,http://61.182.33.218:8000/hls/22/index.m3u8
广东卫视,http://1.30.18.218:20080/hls/59/index.m3u8
广西卫视,http://222.217.124.147:8088/udp/239.81.0.107:4056
江苏卫视,http://171.8.245.48:808/hls/30/index.m3u8
江西卫视,http://125.210.152.19:9123/live/hzgq-jxwsgq-h264.m3u8
河北卫视,http://61.182.33.218:8000/hls/16/index.m3u8
河南卫视,http://113.57.109.36:9901/tsfile/live/0139_1.m3u8
浙江卫视,http://14.29.76.30:9901/tsfile/live/0124_1.m3u8
海南卫视,http://218.13.170.98:9901/tsfile/live/1020_1.m3u8
深圳卫视,http://61.182.33.218:8000/hls/21/index.m3u8
湖北卫视,http://113.57.109.36:9901/tsfile/live/1013_1.m3u8
山西卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
东南卫视,http://iptv123.msns.cn:9901/tsfile/live/0137_1.m3u8
贵州卫视,http://110.53.191.212:9901/tsfile/live/0120_1.m3u8
辽宁卫视,http://111.126.255.2:808/hls/103/index.m3u8
重庆卫视,http://113.57.109.36:9901/tsfile/live/0142_1.m3u8
黑龙江卫视,http://125.210.152.19:9123/live/hzgq-hljwsgq-h264.m3u8
内蒙古卫视,http://111.197.132.156:1314/rtp/239.3.1.43:8176
宁夏卫视,http://218.13.170.98:9901/tsfile/live/0112_1.m3u8
陕西卫视,http://61.182.33.218:8000/hls/36/index.m3u8
甘肃卫视,http://61.182.33.218:8000/hls/39/index.m3u8
吉林卫视,http://majian.ixiaobai.net:58888/rtp/239.37.0.111:5540
云南卫视,http://113.57.109.36:9901/tsfile/live/0119_1.m3u8
三沙卫视,http://125.210.152.19:9123/live/hzgq-ssws-h264.m3u8
青海卫视,http://218.13.170.98:9901/tsfile/live/0140_1.m3u8
新疆卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel64/index.m3u8
西藏卫视,http://223.109.210.41/4309-tx.otvstream.otvcloud.com/otv/skcc/live/channel64/index.m3u8
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8

https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
#EXTINF:10 group-title="•港澳台「P」",HOY 资讯台
https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
